DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
15/05/1997,0.121875,0.125,0.096354,0.097917,1443120000
16/05/1997,0.098438,0.098958,0.085417,0.086458,294000000
19/05/1997,0.088021,0.088542,0.08125,0.085417,122136000
20/05/1997,0.086458,0.0875,0.081771,0.081771,109344000
21/05/1997,0.081771,0.082292,0.06875,0.071354,377064000
22/05/1997,0.071875,0.072396,0.065625,0.069792,235536000
23/05/1997,0.070313,0.076042,0.066667,0.075,318744000
24/05/1997,0.075521,0.082292,0.072917,0.079167,173952000
25/05/1997,0.08125,0.081771,0.076563,0.076563,91488000
26/05/1997,0.077083,0.077083,0.073958,0.07526,69456000
27/05/1997,0.075,0.075521,0.073958,0.075,51888000
28/05/1997,0.075521,0.076563,0.075,0.075521,11832000
29/05/1997,0.076563,0.076563,0.073958,0.073958,23664000
30/05/1997,0.073958,0.074479,0.069792,0.070833,61608000
31/05/1997,0.070833,0.077083,0.06875,0.077083,113448000
01/06/1997,0.075781,0.085417,0.075521,0.082813,156144000
02/06/1997,0.082813,0.085417,0.082813,0.084375,47040000
03/06/1997,0.085417,0.085417,0.076563,0.079167,109176000
04/06/1997,0.079688,0.080208,0.076563,0.077083,23760000
05/06/1997,0.079167,0.082292,0.077604,0.080208,32640000
06/06/1997,0.08125,0.08125,0.079167,0.079167,13872000
07/06/1997,0.080208,0.080208,0.078125,0.078646,18264000
08/06/1997,0.079948,0.079948,0.07474,0.07526,94128000
09/06/1997,0.076042,0.076823,0.075,0.075521,49296000
10/06/1997,0.075521,0.076563,0.075,0.075521,20064000
11/06/1997,0.076563,0.077604,0.075,0.076302,67752000
12/06/1997,0.077083,0.077083,0.073958,0.075,20952000
13/06/1997,0.07526,0.076302,0.073958,0.075521,15024000
14/06/1997,0.076302,0.076302,0.074479,0.075521,42120000
15/06/1997,0.076042,0.076042,0.07526,0.075521,63792000
16/06/1997,0.075781,0.075781,0.073958,0.074479,23760000
17/06/1997,0.075521,0.079948,0.073958,0.077083,54936000
18/06/1997,0.077083,0.077083,0.075521,0.075781,25848000
19/06/1997,0.075781,0.079688,0.075521,0.079427,77640000
20/06/1997,0.079948,0.095833,0.079688,0.095573,251544000
21/06/1997,0.091667,0.101042,0.091667,0.1,161064000
22/06/1997,0.102083,0.116667,0.102083,0.115104,310344000
23/06/1997,0.115104,0.119271,0.113542,0.116146,165240000
24/06/1997,0.116667,0.128646,0.116667,0.128125,181032000
25/06/1997,0.126042,0.126042,0.110417,0.114583,210624000
26/06/1997,0.116146,0.116667,0.105729,0.106771,92088000
27/06/1997,0.106771,0.123958,0.106771,0.121875,185496000
28/06/1997,0.122396,0.12474,0.115104,0.116667,60480000
29/06/1997,0.117188,0.117188,0.107813,0.110938,63384000
30/06/1997,0.109375,0.110938,0.107813,0.107813,15600000
01/07/1997,0.108854,0.109896,0.107292,0.109115,11496000
02/07/1997,0.108333,0.109375,0.103125,0.106771,31272000
03/07/1997,0.109375,0.116667,0.108854,0.114583,65184000
04/07/1997,0.115104,0.115625,0.110938,0.113021,24336000
05/07/1997,0.110938,0.1125,0.110938,0.111458,12408000
06/07/1997,0.111458,0.119792,0.110938,0.116146,51480000
07/07/1997,0.118229,0.125,0.116667,0.123958,96288000
08/07/1997,0.125,0.12526,0.121354,0.122396,50352000
09/07/1997,0.121875,0.121875,0.116667,0.119792,29088000
10/07/1997,0.117188,0.120833,0.1125,0.120833,71760000
11/07/1997,0.11875,0.120573,0.115104,0.115625,53424000
12/07/1997,0.116667,0.116667,0.107292,0.110417,60648000
13/07/1997,0.110417,0.115625,0.109375,0.1125,24864000
14/07/1997,0.1125,0.113021,0.10625,0.108854,40680000
15/07/1997,0.108333,0.115104,0.105208,0.114583,44232000
16/07/1997,0.114583,0.116667,0.1125,0.116406,24792000
17/07/1997,0.114063,0.115104,0.109896,0.109896,11424000
18/07/1997,0.111458,0.111458,0.108333,0.109896,11808000
19/07/1997,0.108854,0.1125,0.10599,0.107813,20832000
20/07/1997,0.106771,0.107813,0.096875,0.105729,31944000
21/07/1997,0.102604,0.102604,0.098438,0.102083,35688000
22/07/1997,0.104688,0.110417,0.102604,0.108333,20064000
23/07/1997,0.109375,0.109375,0.103646,0.108333,19992000
24/07/1997,0.106771,0.108594,0.103646,0.105729,12480000
25/07/1997,0.105208,0.10625,0.104688,0.10625,14256000
26/07/1997,0.105208,0.113021,0.105208,0.110938,22536000
27/07/1997,0.111979,0.117708,0.111458,0.117188,51480000
28/07/1997,0.115365,0.116146,0.1125,0.115885,27840000
29/07/1997,0.115104,0.119792,0.114063,0.11875,22944000
30/07/1997,0.118229,0.11875,0.116146,0.116927,14448000
31/07/1997,0.117188,0.11875,0.116667,0.117708,14640000
01/08/1997,0.117188,0.120833,0.115625,0.116667,39288000
02/08/1997,0.118229,0.127604,0.117188,0.127604,66960000
03/08/1997,0.129167,0.133333,0.122917,0.125,38160000
04/08/1997,0.126563,0.151042,0.125,0.15,112968000
05/08/1997,0.157031,0.169271,0.151302,0.161979,179424000
06/08/1997,0.165625,0.166406,0.15625,0.165104,77328000
07/08/1997,0.166667,0.166667,0.152083,0.157813,85248000
08/08/1997,0.159375,0.184896,0.157813,0.184375,66672000
09/08/1997,0.183333,0.183854,0.152604,0.154688,111672000
10/08/1997,0.15625,0.177083,0.15599,0.167708,128640000
11/08/1997,0.172917,0.175,0.166667,0.170313,52152000
12/08/1997,0.171875,0.173438,0.164063,0.164583,42576000
13/08/1997,0.16901,0.204167,0.16875,0.197396,178584000
14/08/1997,0.2,0.233854,0.197396,0.225,338760000
15/08/1997,0.224479,0.232292,0.219792,0.23125,153648000
16/08/1997,0.232292,0.240625,0.214583,0.21875,164016000
17/08/1997,0.217188,0.217708,0.202604,0.203906,99360000
